fecha_anual_esp	titulo_anual_esp	expediente_icaa	confidence	reason	title_score	titulo_icaa	fecha_estreno_icaa	url
2018-04-06	inmersion entertainment		no encontrado	sin candidato aceptable				
2017-11-17	inocente	46113	alta	titulo y fecha exactos	1.0	INOCENTE	17/11/2017	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=46113
2021-03-12	inocentes los se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2017-07-28	inside		no encontrado	sin candidato aceptable				
2025-05-16	instinto		no encontrado	sin candidato aceptable				
2016-11-18	in the same boat		no encontrado	sin candidato aceptable				
2025-11-06	invasio dels barbars la tierra		no encontrado	sin candidato aceptable				
2024-06-28	invasion		no encontrado	sin candidato aceptable				
2025-07-04	invasion pequena		no encontrado	sin candidato aceptable				
2020-03-06	invisibles		no encontrado	sin candidato aceptable				
2022-11-22	invisible te podria pasar a ti		no encontrado	sin candidato aceptable				
2019-04-26	invocation of enver simaku the		no encontrado	sin candidato aceptable				
2017-03-03	ira		no encontrado	sin candidato aceptable				
2024-07-05	irklais per atlanta		no encontrado	sin candidato aceptable				
2025-07-24	irresponsables		no encontrado	sin candidato aceptable				
2022-05-01	isidro el labrador		no encontrado	sin candidato aceptable				
2015-11-06	isla bonita		no encontrado	sin candidato aceptable				
2025-04-25	isla de los faisanes		no encontrado	sin candidato aceptable				
2016-11-18	isla del viento		no encontrado	sin candidato aceptable				
2021-09-30	isla en el desierto		no encontrado	sin candidato aceptable				
2021-05-02	islandia el refugio perfecto		no encontrado	sin candidato aceptable				
2024-08-23	isla perdida		no encontrado	sin candidato aceptable				
2020-12-04	islas canarias las hijas del volcan		no encontrado	sin candidato aceptable				
2025-11-29	ivan z		no encontrado	sin candidato aceptable				
2022-10-07	jacinto	173019	alta	titulo y fecha exactos	1.0	JACINTO	07/10/2022	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=173019
2018-11-25	jaen virgen y extra		no encontrado	sin candidato aceptable				
2021-04-28	jantzari tradicion e igualdad		no encontrado	sin candidato aceptable				
2019-06-28	japon		no encontrado	sin candidato aceptable				
2025-02-04	jaume cabre la musica de las palabras		no encontrado	sin candidato aceptable				
2024-10-18	jeanette soy rebelde		no encontrado	sin candidato aceptable				
2022-04-29	jefa		no encontrado	sin candidato aceptable				
2018-07-06	jefe	28116	alta	titulo y fecha exactos	1.0	JEFE	06/07/2018	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=28116
2025-12-28	jesucristo flamenco maravillas		no encontrado	sin candidato aceptable				
2018-12-13	jesucristo superstar un hito en la historia del musical espanol		no encontrado	sin candidato aceptable				
2024-07-27	jimmy y la tecla magica		no encontrado	sin candidato aceptable				
2024-07-20	joan bennassar raons humanes		no encontrado	sin candidato aceptable				
2024-04-05	johnny puff mision secreta maravillas		no encontrado	sin candidato aceptable				
2025-09-12	jone a veces		no encontrado	sin candidato aceptable				
2023-01-20	jorge una travesia de coque malla lasdelcine		no encontrado	sin candidato aceptable				
2021-11-05	josefina	125718	alta	titulo y fecha exactos	1.0	JOSEFINA	05/11/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=125718
2023-06-03	jose luis lopez vazquez que disparate		no encontrado	sin candidato aceptable				
2025-10-16	jose maria yturralde		no encontrado	sin candidato aceptable				
2020-12-04	josep		no encontrado	sin candidato aceptable				
2016-10-07	jota de saura		no encontrado	sin candidato aceptable				
2022-06-03	juanito	233221	alta	titulo y fecha exactos	1.0	JUANITO	03/06/2022	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=233221
2023-09-01	juego		no encontrado	sin candidato aceptable				
2021-05-06	jueves milagro		no encontrado	sin candidato aceptable				
2023-09-14	julia		no encontrado	sin candidato aceptable				
2016-10-07	julie		no encontrado	sin candidato aceptable				
2022-07-30	jusqu ici tout va		no encontrado	sin candidato aceptable				
2020-10-28	justa trama		no encontrado	sin candidato aceptable				
2022-05-10	kaiser de la atlantida		no encontrado	sin candidato aceptable				
2023-05-07	kapo		no encontrado	sin candidato aceptable				
2018-11-02	karamazoff		no encontrado	sin candidato aceptable				
2021-06-04	karen		no encontrado	sin candidato aceptable				
2020-10-14	kayak no limits menorca a cegue		no encontrado	sin candidato aceptable				
2023-10-27	kene tiempos		no encontrado	sin candidato aceptable				
2022-12-02	kepa junkera berpiztu kepa junkera renacer		no encontrado	sin candidato aceptable				
2018-03-01	kilian jornet path to everest		no encontrado	sin candidato aceptable				
2022-09-23	labordeta un hombre sin mas urresti		no encontrado	sin candidato aceptable				
2025-05-07	laguna negra		no encontrado	sin candidato aceptable				
2020-08-10	lapiz la nieve y la hierba		no encontrado	sin candidato aceptable				
2023-11-10	largo viaje	94920	media-baja	titulo fuerte; mismo anio	1.0	UN LARGO VIAJE	16/09/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=94920
2014-10-17	lasa y zabala		no encontrado	sin candidato aceptable				
2023-11-17	latido del cielo el european		no encontrado	sin candidato aceptable				
2021-03-26	latir reto 3 355		no encontrado	sin candidato aceptable				
2021-10-01	lebrijano el un gitano universal		no encontrado	sin candidato aceptable				
2024-12-13	l edat imminent		no encontrado	sin candidato aceptable				
2017-02-17	legionario		no encontrado	sin candidato aceptable				
2020-11-19	leiva madrid nuclear		no encontrado	sin candidato aceptable				
2016-09-02	lejos del mar		no encontrado	sin candidato aceptable				
2023-05-12	leonora carrington el juego surrealista		no encontrado	sin candidato aceptable				
2023-03-17	l eternitat		no encontrado	sin candidato aceptable				
2020-07-10	letras de jordi las margenes		no encontrado	sin candidato aceptable				
2025-01-09	letras que marcan se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2025-12-05	ley de sodoma la barlovento		no encontrado	sin candidato aceptable				
2020-10-24	leyenda del viento del norte		no encontrado	sin candidato aceptable				
2018-04-20	leyes de termodinamica		no encontrado	sin candidato aceptable				
2022-09-16	libelulas		no encontrado	sin candidato aceptable				
2021-03-26	libertad	88218	media-baja	titulo fuerte; mismo anio	1.0	LIBERTAD	26/10/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=88218
2019-11-15	liberte	126218	alta	titulo y fecha exactos	1.0	LIBERTÉ	15/11/2019	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=126218
2017-11-10	libreria		no encontrado	sin candidato aceptable				
2023-04-21	libres		no encontrado	sin candidato aceptable				
2017-07-28	ligones		no encontrado	sin candidato aceptable				
2024-11-14	llamame paul		no encontrado	sin candidato aceptable				
2025-11-28	llamame sinsorga se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2025-10-24	llapis horitzo		no encontrado	sin candidato aceptable				
2024-05-07	lligams fils que cuiden la vida		no encontrado	sin candidato aceptable				
2025-05-27	lluc una cronica de la pasteleria		no encontrado	sin candidato aceptable				
2023-03-31	loli tormenta se realiza siguiendo el criterio de semanas cinematograficas	158920	media	titulo fuerte; fecha cercana (1 dias)	1.0	LOLI TORMENTA	30/03/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=158920
2019-12-05	longa noite	137919	alta	titulo y fecha exactos	1.0	LONGA NOITE	05/12/2019	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=137919
2019-12-05	longa noite se realiza siguiendo el criterio de semanas cinematograficas	137919	alta	titulo y fecha exactos	1.0	LONGA NOITE	05/12/2019	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=137919
2019-10-11	lo que arde		no encontrado	sin candidato aceptable				
2019-10-31	love me not		no encontrado	sin candidato aceptable				
2025-11-20	love u carme		no encontrado	sin candidato aceptable				
2016-01-15	l ovidi el making of de la pel licula que mai es va fer		no encontrado	sin candidato aceptable				
2019-01-17	lucero		no encontrado	sin candidato aceptable				
2017-11-24	luces		no encontrado	sin candidato aceptable				
2018-10-11	lucha de gigantes		no encontrado	sin candidato aceptable				
2017-11-07	lucia di lammermoor teatre liceu		no encontrado	sin candidato aceptable				
2026-01-17	luger cineand		no encontrado	sin candidato aceptable				
2025-11-20	luis gordillo manual de instrucciones maravillas		no encontrado	sin candidato aceptable				
2022-09-14	l ultim salt		no encontrado	sin candidato aceptable				
2025-06-16	luminoso espacio salvaje european		no encontrado	sin candidato aceptable				
2025-04-07	luna		no encontrado	sin candidato aceptable				
2017-11-28	lunas de new york y luna grande un tango por garcia lorca		no encontrado	sin candidato aceptable				
2020-02-07	lur y amets		no encontrado	sin candidato aceptable				
2015-03-06	luz con el tiempo dentro la magenta		no encontrado	sin candidato aceptable				
2025-04-11	luz de aisha		no encontrado	sin candidato aceptable				
2021-01-22	luz en la oscuridad phoenix		no encontrado	sin candidato aceptable				
2024-02-22	maa yiem la extraordinaria historia de jordi sabater pi		no encontrado	sin candidato aceptable				
2016-10-28	madre	32714	alta	titulo y fecha exactos	1.0	LA MADRE	28/10/2016	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=32714
2023-10-20	madre no hay mas que una european		no encontrado	sin candidato aceptable				
2025-05-22	madres		no encontrado	sin candidato aceptable				
2022-11-25	madre ven european		no encontrado	sin candidato aceptable				
2025-08-28	madrid ext		no encontrado	sin candidato aceptable				
2016-12-02	madriguera		no encontrado	sin candidato aceptable				
2019-03-28	madruga		no encontrado	sin candidato aceptable				
2016-05-27	magallanes	78315	alta	titulo y fecha exactos	1.0		27/05/2016	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=78315
2014-10-17	magical girl avalon	40513	alta	titulo y fecha exactos	1.0		17/10/2014	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=40513
2025-10-13	magnificent stranger the		no encontrado	sin candidato aceptable				
2020-11-12	malasana 80 music bar		no encontrado	sin candidato aceptable				
2021-06-30	maldicion he vuelto a cambiar		no encontrado	sin candidato aceptable				
2024-06-29	maldita primavera		no encontrado	sin candidato aceptable				
2022-11-11	mallorca la isla madre		no encontrado	sin candidato aceptable				
2016-02-19	mal que hacen los hombres		no encontrado	sin candidato aceptable				
2024-04-17	malvaloca		no encontrado	sin candidato aceptable				
2025-07-30	mama ahora mando yo		no encontrado	sin candidato aceptable				
2022-06-24	mama quiero ser futbolista profesional		no encontrado	sin candidato aceptable				
2020-10-23	mami	95017	alta	titulo y fecha exactos	1.0	LA MAMI	23/10/2020	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=95017
2018-01-12	manchester keeps on dancing		no encontrado	sin candidato aceptable				
2015-11-27	maniobra de heimlich la paycom		no encontrado	sin candidato aceptable				
2024-05-05	mans del genoves les		no encontrado	sin candidato aceptable				
2019-05-06	mantra sonidos en silencio		no encontrado	sin candidato aceptable				
2024-08-23	manuel machado o la edad de la poesia maravillas		no encontrado	sin candidato aceptable				
2013-02-01	mapa		no encontrado	sin candidato aceptable				
2025-04-29	maquinista		no encontrado	sin candidato aceptable				
2024-03-08	mar adentro		no encontrado	sin candidato aceptable				
2021-01-29	maragall i la lluna		no encontrado	sin candidato aceptable				
2020-07-10	marcelino el mejor payaso del mundo		no encontrado	sin candidato aceptable				
2024-11-08	marco	136022	media	titulo fuerte; fecha cercana (39 dias)	1.0	MARCO	30/09/2024	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=136022
2021-11-01	marcos y vida		no encontrado	sin candidato aceptable				
2022-07-27	margalida		no encontrado	sin candidato aceptable				
2019-03-22	margolaria		no encontrado	sin candidato aceptable				
2016-12-07	maria	47712	alta	titulo y fecha exactos	1.0	MARÍA (Y LOS DEMÁS)	07/12/2016	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=47712
2016-12-07	maria avalon	47712	alta	titulo y fecha exactos	1.0	MARÍA (Y LOS DEMÁS)	07/12/2016	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=47712
2023-03-10	maria casares la mujer que vivio mil vidas		no encontrado	sin candidato aceptable				
2025-04-08	maria la portuguesa		no encontrado	sin candidato aceptable				
2023-07-28	maria y la pelicula olvidada		no encontrado	sin candidato aceptable				
